ID	Quotation Name	Document	Document Groups	Quotation Content	Codes	Autore-i	Riferimento-Bibliografico	Link
83:11	Mais voici que l'orchestre commence à jouer, et des groupes de danseur…	fr_LET_Goncourt_Bologne	FR  all-doc	Mais voici que l'orchestre commence à jouer, et des groupes de danseurs et de danseuses se forment, qui se mettent à faire le tour de la salle, en côtoyant les murs, ayant en tête le maitre du bal, en gilet blanc. A tous les cinq pas, chaque couple se prend par les mains, va et vient sur lui-même, s'écarlant et se rapprochant, puis se reprend par la main, remarche, et recommence à s'arrêter.	LINGUA::French  TEM::Arte-Musicale  TEM::Evento  TEM::Usi e Costumi	Goncourt, Jules et Edmond de	Goncourt, Jules et Edmond de [1855] (1894), L’Italie d’hier.	https://books.google.it/books?hl=it&output=text&id=2SEyAQAAIAAJ&jtp=63
83:12	La valse va, va, s'emporte, et les robes se battent, se mêlent, entren…	fr_LET_Goncourt_Bologne	FR  all-doc	La valse va, va, s'emporte, et les robes se battent, se mêlent, entrent l'une dans l'autre, balayant les murs, et comme elles sont ouvertes sur le côté, dans le branle de la danse, le jupon montre un triangle, pareil à un éventail blanc qui pendrait à la ceinture. L'entraînement est tel, que des spectateurs, de gros hommes obèses, aux gilets de futaine, se mettent à tourner, tourner, tourner, mécaniquement et béatiquement, à la façon des marionnettes sur un orgue.	ESPERIENZA::Stupore  LINGUA::French  TEM::Arte-Musicale  TEM::Usi e Costumi	Goncourt, Jules et Edmond de	Goncourt, Jules et Edmond de [1855] (1894), L’Italie d’hier.	https://books.google.it/books?hl=it&output=text&id=2SEyAQAAIAAJ&jtp=63
83:13	L'orchestre joue toujours sa valse sonore, fanfarante, sa valse éterne…	fr_LET_Goncourt_Bologne	FR  all-doc	L'orchestre joue toujours sa valse sonore, fanfarante, sa valse éternelle et sans repos, et les femmes, de petits châles rouges dans le dos, une raic sur le côté, des accroche-cœurs aux tempes, une touffe de cheveux noirs sur l'œil gauche, la flamme du regard dans une cernure bistrée, leur donnant l'air de charbonnières assassines, semblent se dépouiller d'elles-mêmes, et s'abîmer dans la douceur du vague à l'âme.	ESPERIENZA::Stupore  LINGUA::French  TEM::Arte-Musicale  TEM::Donna  TEM::Usi e Costumi	Goncourt, Jules et Edmond de	Goncourt, Jules et Edmond de [1855] (1894), L’Italie d’hier.	https://books.google.it/books?hl=it&output=text&id=2SEyAQAAIAAJ&jtp=63
86:1	« Oui, oui, je serai un jour le plus grand peintre de Bologne, murmura…	fr_LET_Grandsard_Les trois Carrache	FR  all-doc	« Oui, oui, je serai un jour le plus grand peintre de Bologne, murmurait-il; ce ne peut être sans dessein que Dieu a mis en mon âme cet ardent amour de l’art, cette énergique volonté de lutter contre tous les obstacles plutôt que d’abandonner la glorieuse carrière où déjà j’ai fait mes premiers pas.... J’irai ce soir môme dire adieu à mon oncle et à mes deux cousins Carrache, car seuls ils me restent en ce monde ; puis, demain, je partirai pour Venise, et peut-être l’illustre Tintoret me jugera-t-il digne de devenir son élève. »	ART::Carracci-Fratelli  ART::Carracci-Ludovico  ART::Ludovico-Carracci  CITTAePAESI::Bologna  LINGUA::French  OPA::Pittura::Pittura	Ducos, Basile Joseph	Ducos, Basile Joseph (1829), Itinéraire et souvenirs d’un voyage en Italie en 1819 et 1820.	https://gallica.bnf.fr/ark:/12148/bpt6k106431g
86:2	— N’aurez-vous pas pour guide cette splendide nature au milieu de laqu…	fr_LET_Grandsard_Les trois Carrache	FR  all-doc	— N’aurez-vous pas pour guide cette splendide nature au milieu de laquelle est assise notre chère Bologne? répondit vivement le jeune peintre; venez souvent étudier ses secrets, mes enfants, et continuez à travailler d’après ses inspirations ; car elle seule saura vous révéler les divins mystères de la Beauté infinie [NdR. Dialogue entre le maître Prospéro Fontana et son élève Louis Carrache].	ART::Carracci-Ludovico  ART::Fontana Prospero  ART::Ludovico-Carracci  CITTAePAESI::Bologna  LINGUA::French  NATURA::Natura	Ducos, Basile Joseph	Ducos, Basile Joseph (1829), Itinéraire et souvenirs d’un voyage en Italie en 1819 et 1820.	https://gallica.bnf.fr/ark:/12148/bpt6k106431g
87:1	Nous sommes arrivés la nuit à Bologne, et c'est avec regret que j'ai q…	fr_LET_Ideville_Journal d'un diplomate en Italie	FR  all-doc	Nous sommes arrivés la nuit à Bologne, et c'est avec regret que j'ai quitté la bonne voiture du courrier déjà je m'habituais au galop de six chevaux et aux deux postillons rouges de l’ex-grand-duc. Ce sera certainement un des derniers voyages que je ferai en poste. Quelle belle traversée des Apennins !	CITTAePAESI::Bologna  LINGUA::French  NATURA::Appennino::Appennino	Ideville, Henry d’	Ideville, Henry d’ (1872), Journal d'un diplomate en Italie : notes intimes pour servir à l'histoire du second empire.	https://gallica.bnf.fr/ark:/12148/bpt6k1070605.r=Bologne?rk=21459;2
87:2	Bologne est une grande ville fort animée, mais rude; on s’y retrouve e…	fr_LET_Ideville_Journal d'un diplomate en Italie	FR  all-doc	Bologne est une grande ville fort animée, mais rude; on s’y retrouve en plein moyen âge; les mœurs sont moins douces que dans les autres parties de l'Italie; la physionomie même du peuple indique le caractère violent des Romagnols.	CITTAePAESI::Bologna  ESPERIENZA::Critica  LINGUA::French  TEM::Usi e Costumi	Ideville, Henry d’	Ideville, Henry d’ (1872), Journal d'un diplomate en Italie : notes intimes pour servir à l'histoire du second empire.	https://gallica.bnf.fr/ark:/12148/bpt6k1070605.r=Bologne?rk=21459;2
88:1	Voici qu'à force de penser à Florence, je me trouve porté dans une vil…	fr_LET_Janin_Chapitre IX_Voyage en Italie	FR  all-doc	Voici qu'à force de penser à Florence, je me trouve porté dans une ville étrange, que je veux vous décrire avant de la nommer. Vous pénétrez lentement dans une longue rue entourée de sombres arcades, si bien que pas une des maisons de cette ville ne paraît ouvrir sa porte ou sa fenêtre. Sous ces arcades sans fin, glissent comme des ombres les habitants encore plus qu'ils ne marchent; vous arrivez ainsi au pied d'une tour qui occupe le milieu de la ville, et vous n'avez encore entendu que le bruit du tambour;	CITTAePAESI::Bologna  LINGUA::French  LU::Portici::Portico  LU::Torri::Torri  OPA::Architettura::Portico	Janin, Jules	Janin, Jules (1839). Voyage en Italie, chap. IX	https://books.google.it/books?id=79pZPy2h7BoC&printsec=frontcover&hl=it&source=gbs_atb#v=onepage&q&f=false
88:2	Dans un coin de la place, un sculpteur, qui était à coup sûr un grand…	fr_LET_Janin_Chapitre IX_Voyage en Italie	FR  all-doc	Dans un coin de la place, un sculpteur, qui était à coup sûr un grand maître, a construit, il y a longtemps, une fontaine de Neptune entouré des sirènes : le dieu est nu, les femmes qui l'entourent sont nues et belles ; autrefois de ces mamelles remplies l'eau tombait en abondance: ces belles sirènes sont les sœurs jumelles des Sabines de Florence.	ART::Giambologna  CITTAePAESI::Bologna  LINGUA::French  LU::Fontane::Fontana-Nettuno  LU::Piazze::Piazza-Maggiore	Janin, Jules	Janin, Jules (1839). Voyage en Italie, chap. IX	https://books.google.it/books?id=79pZPy2h7BoC&printsec=frontcover&hl=it&source=gbs_atb#v=onepage&q&f=false
88:3	Quelle est donc cette ville silencieuse et triste, qui cache sa fortun…	fr_LET_Janin_Chapitre IX_Voyage en Italie	FR  all-doc	Quelle est donc cette ville silencieuse et triste, qui cache sa fortune, sa beauté, son origine? On y respire-je ne sais quelle odeur enivrante et nauséabonde de théologie et d'atticisme, de poésie et de fleurs fanées, de bibliothèque et de musée, d'amour et de cimetière, que nul poète ne saurait définir. Ah! ce n'est plus là la Florence tout enivrée de la lie de ses nobles passions; ah! ce n'est plus là la vieille Pise, toute chargée de ses riches peintures ; ah! ce n'est plus là Gênes l'opulente qui étale sa fortune à défaut d'esprit, de courage et de liberté; c'est une ruine pédante et dédaigneuse qui ne ressemble à aucune des ruines de l'Italie.	CITTAePAESI::Bologna  ESPERIENZA::Disgusto  ESPERIENZA::Stupore  LINGUA::French	Janin, Jules	Janin, Jules (1839). Voyage en Italie, chap. IX	https://books.google.it/books?id=79pZPy2h7BoC&printsec=frontcover&hl=it&source=gbs_atb#v=onepage&q&f=false
88:4	C'est que, monsieur, nous sommes entrés sans le savoir au milieu de ce…	fr_LET_Janin_Chapitre IX_Voyage en Italie	FR  all-doc	C'est que, monsieur, nous sommes entrés sans le savoir au milieu de cette vieille cité universitaire appelée Bologne, qui a usé à elle seule plus de vieux parchemins, plus de palettes, plus d'encre à écrire, plus de chaires à prêcher, plus de bonnets de docteurs, qu'aucune des villes de l'Italie ;-noble haillon, qui a balayé tour à tour l'Église, l'Amphithéâtre, l'École, le Musée! il sent à la fois le sang, l'huile, la térébenthine et l'encens.	CITTAePAESI::Bologna  LINGUA::French  LU::Zona-Unviersitaria::Università  TEM::Studenti	Janin, Jules	Janin, Jules (1839). Voyage en Italie, chap. IX	https://books.google.it/books?id=79pZPy2h7BoC&printsec=frontcover&hl=it&source=gbs_atb#v=onepage&q&f=false
88:5	Ce qui s'est passé dans cette ville inerte ne saurait se croire; elle…	fr_LET_Janin_Chapitre IX_Voyage en Italie	FR  all-doc	Ce qui s'est passé dans cette ville inerte ne saurait se croire; elle a tout tenté, même la magie. Cette ville, qui n'a pas aujourd'hui une voix pour se plaindre, elle parlait jadis aux esprits infernaux. La première fois que le médecin ouvrit un cadavre pour apprendre dans les entrailles de ce mort les secrets de la vie, le médecin et le cadavre étaient de Bologne.	CITTAePAESI::Bologna  LINGUA::French  LU::Musei::Teatro-Anatomico  LU::Zona-Unviersitaria::Università	Janin, Jules	Janin, Jules (1839). Voyage en Italie, chap. IX	https://books.google.it/books?id=79pZPy2h7BoC&printsec=frontcover&hl=it&source=gbs_atb#v=onepage&q&f=false
88:6	La première chaire de théologie fut élevée à Bologne; on a enseigné à…	fr_LET_Janin_Chapitre IX_Voyage en Italie	FR  all-doc	La première chaire de théologie fut élevée à Bologne; on a enseigné à Bologne, bien avant qu'on l'enseignât dans le reste de l'Italie, le droit, la logique, l'astronomie, l'hébreu, le syriaque, le grec et l'arabe. Ces doctes murs se souviennent encore de leur ancienne destination; l'air est chargé de science, le pavé des rues en est imprégné, les maisons mêmes se sont faites pédantes.	CITTAePAESI::Bologna  LINGUA::French  LU::Zona-Unviersitaria::Università  TEM::Università-Docenti	Janin, Jules	Janin, Jules (1839). Voyage en Italie, chap. IX	https://books.google.it/books?id=79pZPy2h7BoC&printsec=frontcover&hl=it&source=gbs_atb#v=onepage&q&f=false
88:7	Quel grand bruit ce devait être, quand cette immense école était rempl…	fr_LET_Janin_Chapitre IX_Voyage en Italie	FR  all-doc	Quel grand bruit ce devait être, quand cette immense école était remplie, quand cette armée de professeurs et d'élèves s'abandonnait librement chaque jour à cette dialectique puissante qui devait engendrer tant d'idées et tant de paradoxes!	CITTAePAESI::Bologna  ESPERIENZA::Stupore  LINGUA::French  LU::Zona-Unviersitaria::Università  TEM::Studenti  TEM::Università-Docenti	Janin, Jules	Janin, Jules (1839). Voyage en Italie, chap. IX	https://books.google.it/books?id=79pZPy2h7BoC&printsec=frontcover&hl=it&source=gbs_atb#v=onepage&q&f=false
88:8	Ville à part, elle s'abandonnait à l'étude pendant qu'on se battait au…	fr_LET_Janin_Chapitre IX_Voyage en Italie	FR  all-doc	Ville à part, elle s'abandonnait à l'étude pendant qu'on se battait autour d'elle; elle restait calme au milieu de tant de fureurs; dans ses murs, l'enfant et le vieillard venaient, loin du bruit des armes apprendre les belles-lettres ou s'en souvenir. C'était alors comme un terrain neutre que s'étaient réservé les sciences et les arts, loin des champs de bataille, et sur lequel nul n'entrait les armes à la main.	CITTAePAESI::Bologna  ESPERIENZA::Ammirazione  LINGUA::French  LU::Zona-Unviersitaria::Università	Janin, Jules	Janin, Jules (1839). Voyage en Italie, chap. IX	https://books.google.it/books?id=79pZPy2h7BoC&printsec=frontcover&hl=it&source=gbs_atb#v=onepage&q&f=false
88:9	Ce qui fait l'honneur de Florence, c'est que les nobles passions qui s…	fr_LET_Janin_Chapitre IX_Voyage en Italie	FR  all-doc	Ce qui fait l'honneur de Florence, c'est que les nobles passions qui se sont partagé les villes italiennes, Florence les a toutes cultivées à la fois, Florence a été à la fois une cathédrale, une citadelle, un comptoir, un musée, une bibliothèque, une école; mais, comme école, Florence est restée bien loin de Bologne; c'est la seule fois que Florence ait été vaincue par une ville de l'Italie, ce qui est un grand honneur pour Bologne.	CITTAePAESI::Bologna  ESPERIENZA::Ammirazione  LINGUA::French  LU::Zona-Unviersitaria::Università	Janin, Jules	Janin, Jules (1839). Voyage en Italie, chap. IX	https://books.google.it/books?id=79pZPy2h7BoC&printsec=frontcover&hl=it&source=gbs_atb#v=onepage&q&f=false
88:10	Puisque cette ville de Bologne s'isolait au milieu des guerres civiles…	fr_LET_Janin_Chapitre IX_Voyage en Italie	FR  all-doc	Puisque cette ville de Bologne s'isolait au milieu des guerres civiles pour étudier la philosophie, la médecine, la théologie, toutes sciences qui demandent avant tout de la liberté, pourquoi donc aujourd'hui n'aurait-on pas isolé l'Académie de Bologne, afin qu'une fois dans leur vie toutes les jeunes intelligences de l'Italie pussent mettre en dehors même leurs rêves? C'eût été beau alors une pareille ville bruyante par la pensée et le travail, comme les autres villes de l'Italie sont bruyantes par l'inaction et le plaisir.	CITTAePAESI::Bologna  ESPERIENZA::Ammirazione  LINGUA::French  LU::Accademie::Accademia-delle-Scienze-Istituto-di-Bologna  LU::Zona-Unviersitaria::Università	Janin, Jules	Janin, Jules (1839). Voyage en Italie, chap. IX	https://books.google.it/books?id=79pZPy2h7BoC&printsec=frontcover&hl=it&source=gbs_atb#v=onepage&q&f=false
88:11	Les paisibles jardins de l'Académie athénienne, les portiques de Rome…	fr_LET_Janin_Chapitre IX_Voyage en Italie	FR  all-doc	Les paisibles jardins de l'Académie athénienne, les portiques de Rome quand régnait Cicéron, les jardins de Salluste, n'auraient pas pu se comparer à cette Bologne italienne et libre; c'était le seul moyen qui restât à l'Italie d'avoir véritablement une école qui fût en honneur parmi les écoles du reste de l'Europe; c'était le seul moyen de dompter au profit de l'ordre, en leur donnant un facile débouché de quelques années, tous ces jeunes esprits turbulents qui s'en vont au loin ramassant au hasard et sans choix toutes les doctrines qui renversent les trônes; Bologne, ainsi placée comme elle est, au centre de l'Italie, eût été un lieu de rafraîchissement et de repos.	CITTAePAESI::Bologna  ESPERIENZA::Ammirazione  LINGUA::French  LU::Zona-Unviersitaria::Università  TEM::Studenti	Janin, Jules	Janin, Jules (1839). Voyage en Italie, chap. IX	https://books.google.it/books?id=79pZPy2h7BoC&printsec=frontcover&hl=it&source=gbs_atb#v=onepage&q&f=false
88:12	Ses portes seraient restées ouvertes à tous les esprits mécontents et…	fr_LET_Janin_Chapitre IX_Voyage en Italie	FR  all-doc	Ses portes seraient restées ouvertes à tous les esprits mécontents et peu dangereux qui n'ont besoin que de se plaindre. Bologne fût devenue la patrie des poëtes turbulents, des avocats démocrates, des philosophes sceptiques, des catholiques révoltés, de tous les innocents faiseurs d'utopies;	CITTAePAESI::Bologna  ESPERIENZA::Ammirazione  LINGUA::French	Janin, Jules	Janin, Jules (1839). Voyage en Italie, chap. IX	https://books.google.it/books?id=79pZPy2h7BoC&printsec=frontcover&hl=it&source=gbs_atb#v=onepage&q&f=false
88:14	Ainsi, j'errais au hasard sous ces arcades, j'entrais au hasard dans c…	fr_LET_Janin_Chapitre IX_Voyage en Italie	FR  all-doc	Ainsi, j'errais au hasard sous ces arcades, j'entrais au hasard dans ces écoles; par hasard aussi j'entrai dans la galerie de tableaux, muette comme tout le reste. Et faut-il que cette terre d'Italie soit remplie de chefs-d’œuvre, puisqu'au fond de cette ville de Bologne, sombre et silencieuse, brille d'un éclat sans égal, entre les tableaux des trois Carrache et les toiles du Dominiquin, et le saint François du Guide, et la sainte Cécile de Raphaël!	ART::Carracci-Fratelli  ART::Domenichino-(pseudonimo-Domenico-Zampieri)  ART::Reni-Guido  ART::Sanzio-Raffaello  CITTAePAESI::Bologna  ESPERIENZA::Ammirazione  ESPERIENZA::Stupore  LINGUA::French  LU::Musei::Pinacoteca  LU::Portici::Portico  OPA::Architettura::Portico  OPA::Dipinto::Dipinto	Janin, Jules	Janin, Jules (1839). Voyage en Italie, chap. IX	https://books.google.it/books?id=79pZPy2h7BoC&printsec=frontcover&hl=it&source=gbs_atb#v=onepage&q&f=false
88:15	Puis vous entrez dans les églises, dans l'église Sainte-Pétrone, dont…	fr_LET_Janin_Chapitre IX_Voyage en Italie	FR  all-doc	Puis vous entrez dans les églises, dans l'église Sainte-Pétrone, dont les portes se sentent du voisinage de Florence : une de ses portes fut sculptée par une belle personne du quinzième siècle, Properzia de Rossi, morte d'amour! Dans cette église il y avait une statue de Jules II, par Michel-Ange; mais le peuple de Bologne, moins habile que celui de Florence, a brisé la statue de Michel-Ange.	ART::Buonarroti-Michelangelo  ART::De-Rossi-Properzia  LINGUA::French  LU::Di-Culto::Basilica  LU::Di-Culto::Basilica-San-Petronio  PE::Secolo-XV  TEM::Donna	Janin, Jules	Janin, Jules (1839). Voyage en Italie, chap. IX	https://books.google.it/books?id=79pZPy2h7BoC&printsec=frontcover&hl=it&source=gbs_atb#v=onepage&q&f=false
88:16	Dans la cathédrale vous admirez le plafond, le dernier œuvre de Louis…	fr_LET_Janin_Chapitre IX_Voyage en Italie	FR  all-doc	Dans la cathédrale vous admirez le plafond, le dernier œuvre de Louis Carrache à quatre-vingts ans; dans toutes ces églises qui se ressemblent, vous retrouvez les trois Carrache; mais si toutes ces églises se ressemblent, on comprend que rien ne les unit entre elles, qu'elles n'ont de commun que les noms des artistes qui y travaillèrent : la pensée première manque à ces monuments épars.	ART::Carracci-Fratelli  ART::Carracci-Ludovico  ART::Ludovico-Carracci  CITTAePAESI::Bologna  ESPERIENZA::Critica  LINGUA::French  LU::Di-Culto::Basilica-San-Petronio  OPA::Architettura::Soffitto	Janin, Jules	Janin, Jules (1839). Voyage en Italie, chap. IX	https://books.google.it/books?id=79pZPy2h7BoC&printsec=frontcover&hl=it&source=gbs_atb#v=onepage&q&f=false
